address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
南昌路145号1(藏卫路南一段北),双流区,[],[],[],成都市,[],B001C7XUJ5,[],"103.922759,30.568628",顺风商城,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
交大路183号,金牛区,[],[],[],成都市,[],B001C8N6NP,[],"104.044672,30.703304",凯德广场(金牛店),[],[],四川省,[],[],0,028-62708200,购物服务;商场;购物中心,060101
黄金东一路222号,金牛区,[],[],[],成都市,[],B001C8MV4U,[],"103.993493,30.708934",万裕生活广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
武阳西路27号,新津区,[],[],[],成都市,[],B001C802NY,[],"103.811148,30.4124",百伦新宸百货(新津店),[],[],四川省,[],[],0,028-82520988;13882010600,购物服务;商场;普通商场,060102
西大街168号,温江区,[],[],[],成都市,[],B001C02379,[],"103.833162,30.698822",精天百货(西大街),[],[],四川省,[],[],0,13551335555,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100
紫荆东路49,武侯区,[],[],[],成都市,[],B0FFGXCHXO,[],"104.054615,30.612817",紫荆美熙广场,[],[],四川省,[],[],0,028-83361571,购物服务;商场;购物中心,060101
科华中路9号,武侯区,[],[],[],成都市,[],B001C80PPV,[],"104.075937,30.618906",王府井购物中心(科华路店),[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
望丛东路139号,郫都区,[],[],[],成都市,[],B0FFF428AQ,[],"103.907519,30.807535",成都郫都万达广场,[],[],四川省,[],[],0,028-68661277,购物服务;商场;购物中心,060101
二环南四段佳灵路7号,武侯区,[],[],[],成都市,[],B001C031C1,[],"104.031825,30.634604",红牌楼商业广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
锦江东大街99号(东大街与纱帽街交汇处),锦江区,[],[],[],成都市,[],B001C8QJIB,[],"104.08209,30.651415",晶融汇,[],[],四川省,[],[],0,028-84443787,购物服务;商场;购物中心,060101
航鹰东路6号,双流区,[],[],[],成都市,[],B0FFHLJVBI,[],"103.925111,30.582524",乐福城市生活广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
丛桂街2-10号,双流区,[],[],[],成都市,[],B001C7YL1C,[],"103.923948,30.573488",明城百货,[],[],四川省,[],[],0,028-85838333,购物服务;商场;普通商场,060102
五块石路1号,金牛区,[],[],[],成都市,[],B0FFHZXSK7,[],"104.064194,30.708844",龙湖·北城天街购物广场南馆,[],[],四川省,[],[],0,028-83110011,购物服务;购物相关场所;购物相关场所,060000
金花镇李家祠凉水井凉港三路,武侯区,[],[],[],成都市,[],B001C8O6M9,[],"103.973984,30.583203",鑫阳光购物广场,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
一环路北二段与人民北路交汇处,金牛区,[],[],[],成都市,[],B0FFJ351RT,[],"104.071872,30.684849",龙湖成都上城天街,[],[],四川省,[],[],1,028-63278088,购物服务;商场;购物中心,060101
桃都大道888号,龙泉驿区,[],[],[],成都市,[],B0FFG9VISJ,[],"104.240726,30.577996",吾悦广场,[],[],四川省,[],[],0,028-68386999,购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102
紫竹北街85号1,武侯区,[],[],[],成都市,[],B001C8TY3M,[],"104.055937,30.615823",大世界商业广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
[],武侯区,[],[],[],成都市,[],B001C8NNA6,[],"103.982702,30.599085",武侯直销鞋城,[],[],四川省,[],[],0,028-66531887;028-66531888,购物服务;商场;普通商场,060102
建设路10号,成华区,[],[],[],成都市,[],B0FFFR08M2,[],"104.104967,30.670068",万科·钻石广场,[],[],四川省,[],[],0,028-84377222,购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102
总府路12号,锦江区,[],[],[],成都市,[],B001C933QY,[],"104.078609,30.65725",茂业百货(春熙店),[],[],四川省,[],[],0,028-86723666,购物服务;商场;购物中心,060101
锦华路一段68号,锦江区,[],[],[],成都市,[],B001C92D7K,[],"104.096473,30.621009",锦华万达广场,[],[],四川省,[],[],0,028-66618886,购物服务;商场;购物中心,060101
双庆路8号,成华区,[],[],[],成都市,[],B001C8O6UD,[],"104.115448,30.649575",成都华润万象城,[],[],四川省,[],[],0,028-86306777,购物服务;商场;购物中心,060101
一环路南一段2号-2,武侯区,[],[],308,成都市,[],B001C7V5F7,[],"104.086469,30.637946",好望角广场,B001C802LZ,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
