address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
国际商贸城荷花池中药材专业中药材市场1层6-1-13号,金牛区,[],[],[],成都市,[],B001C8MBSK,[],"104.088541,30.791200",中国邮政储蓄银行(成都市国际商贸城支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
东滨路江水湾16栋1层1-2号,简阳市,[],[],202,成都市,[],B0340015OB,[],"104.549433,30.400523",中国邮政储蓄银行(东滨路支行),B0FFL9E3ZA,[],四川省,[],[],2,028-27235129,金融保险服务;银行;中国邮政储蓄银行,160139
大石东路11号之附13-16,青羊区,[],[],[],成都市,[],B001C7WI4H,[],"104.045677,30.651910",中国邮政储蓄银行(大石东路营业所),[],[],四川省,[],[],2,028-87049475;95580,金融保险服务;银行;中国邮政储蓄银行,160139
踏水镇柏林街197号,简阳市,[],[],[],成都市,[],B03400MXEG,[],"104.691671,30.590721",中国邮政储蓄银行(寨子储蓄所),[],[],四川省,[],[],2,95580,金融保险服务;银行;银行,160100
平息乡八角庙北街2-4号,简阳市,[],[],[],成都市,[],B034000YDX,[],"104.810432,30.342722",中国邮政储蓄银行(平息乡营业所),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
丽蓉大道140-142号,彭州市,[],[],[],成都市,[],B001C8ODIL,[],"103.872077,30.972160",中国邮政储蓄银行(丽春街道支行),[],[],四川省,[],[],2,028-83816196;95580,金融保险服务;银行;中国邮政储蓄银行,160139
又新镇金乐路5号,金堂县,[],[],[],成都市,[],B001C7X4PV,[],"104.788835,30.568975",中国邮政储蓄银行(金堂县又新营业所),[],[],四川省,[],[],2,028-84971388,金融保险服务;银行;中国邮政储蓄银行,160139
顺江路33号,锦江区,[],[],[],成都市,[],B001C7WR4B,[],"104.090962,30.639242",中国邮政储蓄银行(顺江路营业所),[],[],四川省,[],[],2,028-84510507;95580,金融保险服务;银行;中国邮政储蓄银行,160139
宝莲路374-376号,都江堰市,[],[],[],成都市,[],B0FFF00OEA,[],"103.652646,30.980391",中国邮政储蓄银行(宝莲路营业所),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
永宁北街与永宁东路交叉路口往南约100米(柏林河畔),郫都区,[],[],[],成都市,[],B0FFJE6CAL,[],"103.918993,30.872464",中国邮政储蓄银行(三道堰镇营业所),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
