address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
福兴镇金兴街227-237号,金堂县,[],[],[],成都市,[],B001C7V3XG,[],"104.639061,30.828610",中国邮政储蓄银行(福兴镇支行),[],[],四川省,[],[],2,028-84944128;028-84944161;95580,金融保险服务;银行;中国邮政储蓄银行,160139
三岔街道建国街49-57号,简阳市,[],[],[],成都市,[],B0FFFRPBA9,[],"104.300597,30.297417",中国邮政储蓄银行(简阳市三岔建国街支行),[],[],四川省,[],[],2,028-27330011,金融保险服务;银行;中国邮政储蓄银行,160139
白马庙街175-177号,温江区,[],[],[],成都市,[],B001C8MWKH,[],"103.840501,30.704987",中国邮政储蓄银行(白马庙支行),[],[],四川省,[],[],2,028-82724860;95580,金融保险服务;银行;中国邮政储蓄银行,160139
交大路208号,金牛区,[],[],[],成都市,[],B001C8RB6I,[],"104.040493,30.706600",中国邮政储蓄银行(交大路营业所),[],[],四川省,[],[],2,028-87703235;028-83331282,金融保险服务;银行;中国邮政储蓄银行,160139
柏合镇新街47、49、51号,龙泉驿区,[],[],3,成都市,[],B001C8OP8B,[],"104.205463,30.503970",中国邮政储蓄银行24小时自助银行(柏合街道营业所),B001C8OPIT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
淮州大道36-42号,金堂县,[],[],[],成都市,[],B0FFFAHM4V,[],"104.559897,30.711955",中国邮政储蓄银行(淮州大道营业所),[],[],四川省,[],[],2,028-84915499;95580,金融保险服务;银行;中国邮政储蓄银行,160139
蒲新路东段25号,蒲江县,[],[],[],成都市,[],B001C8P4S4,[],"103.626678,30.271033",中国邮政储蓄银行(寿安镇支行),[],[],四川省,[],[],2,028-88678519;028-88942965,金融保险服务;银行;中国邮政储蓄银行,160139
柳街镇,都江堰市,[],[],[],成都市,[],B001C7YJS1,[],"103.667858,30.786177",中国邮政储蓄银行(柳街营业所),[],[],四川省,[],[],2,028-87243023,金融保险服务;银行;中国邮政储蓄银行,160139
荷塘街169-175号,金堂县,[],[],[],成都市,[],B0FFHMZ5OI,[],"104.575159,30.814715",中国邮政储蓄银行(赵家支行),[],[],四川省,[],[],2,028-84942996;95580,金融保险服务;银行;中国邮政储蓄银行,160139
驭虹路76附8,蒲江县,[],[],[],成都市,[],B0FFFFVI3R,[],"103.514027,30.194383",中国邮政储蓄银行(驭虹路支行),[],[],四川省,[],[],2,028-88532653,金融保险服务;银行;中国邮政储蓄银行,160139
平武镇春熙街,简阳市,[],[],[],成都市,[],B0FFFFQ2CA,[],"104.640493,30.428799",中国邮政储蓄银行(平武镇营业所),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
新市街道新达街505-507号,简阳市,[],[],[],成都市,[],B03400NCTS,[],"104.576758,30.334181",中国邮政储蓄银行(新达营业所),[],[],四川省,[],[],2,028-27125351,金融保险服务;银行;中国邮政储蓄银行,160139
蒲阳路302号,都江堰市,[],[],[],成都市,[],B001C8R916,[],"103.682776,31.030428",中国邮政储蓄银行(蒲阳街道营业所),[],[],四川省,[],[],2,028-87287186;028-87131700,金融保险服务;银行;中国邮政储蓄银行,160139
淮口街道现代大道1号,金堂县,[],[],[],成都市,[],B001C8MKXC,[],"104.548669,30.714673",中国邮政储蓄银行(淮口支行),[],[],四川省,[],[],2,028-84915455,金融保险服务;银行;中国邮政储蓄银行,160139
元通镇涌泉街79-83号,崇州市,[],[],[],成都市,[],B001C8MD3R,[],"103.628264,30.729997",中国邮政储蓄银行(元通镇支行),[],[],四川省,[],[],2,028-82262115;95580,金融保险服务;银行;中国邮政储蓄银行,160139
聚兴路149号,都江堰市,[],[],[],成都市,[],B001C8MBYB,[],"103.680733,30.944180",中国邮政储蓄银行(聚源镇支行),[],[],四川省,[],[],2,028-87261799;95580,金融保险服务;银行;中国邮政储蓄银行,160139
解放路一段192号附7,金牛区,[],[],[],成都市,[],B0FFGYNCGC,[],"104.089562,30.692641",中国邮政储蓄银行(解放路支行),[],[],四川省,[],[],2,028-63172550,金融保险服务;银行;中国邮政储蓄银行,160139
