address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
天府大道南段2039号,双流区,[],[],302,成都市,[],B0FFH8VX9F,[],"104.071970,30.492291",交通银行24小时自助银行(成都自贸试验区支行),B001C805MI,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
二环路南三段3号附25号,武侯区,[],[],[],成都市,[],B001C078UU,[],"104.062641,30.620383",交通银行(成都南二环支行),[],[],四川省,[],[],2,028-85544464;028-85540727,金融保险服务;银行;交通银行,160108
科华街5号附9号,武侯区,[],[],3,成都市,[],B001C7WLB7,[],"104.077902,30.623493",交通银行24小时自助银行(磨子桥支行),B001C7WLB6,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
马超东路289号,新都区,[],[],[],成都市,[],B0FFGPGSZX,[],"104.180167,30.808904",交通银行24小时自助银行(新都支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
上阳街与太阳岛路交叉口东50米,都江堰市,[],[],[],成都市,[],B0HG1CTN9R,[],"103.673906,31.026524",交通银行ATM(太阳岛路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
正兴街34号,青白江区,[],[],[],成都市,[],B0GUZXJU6S,[],"104.194837,30.866640",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
中山北路与学府路一段交叉路口东南侧(佳美新居),都江堰市,[],[],[],成都市,[],B0G3XUE94E,[],"103.641781,30.997020",交通银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
岷江路112号附4号,都江堰市,[],[],[],成都市,[],B0FFKNFY6S,[],"103.645223,30.983123",交通银行24小时自助银行(中山北路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
海峡科技园520广场孵化中心大楼第1层,温江区,[],[],[],成都市,[],B001C8MXJH,[],"103.799037,30.675232",交通银行24小时自助银行(温江支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
上升街96号交银大厦,青羊区,[],[],3,成都市,[],B001C929M3,[],"104.066087,30.666897",交通银行(四川省分行),B001C04E49,[],四川省,[],[],2,028-86525118;028-86525666,金融保险服务;银行;交通银行,160108
