address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
华阳镇华阳大道一段82号,双流区,[],[],[],成都市,[],B001C8OBTF,[],"104.044322,30.511259",成都农商银行(华兴街分理处),[],[],四川省,[],[],2,028-85621446,金融保险服务;银行;农村商业银行,160121
星辉西路6号,金牛区,[],[],[],成都市,[],B001C7UAN5,[],"104.076721,30.677802",成都农商银行(城隍庙分理处),[],[],四川省,[],[],2,028-83229034,金融保险服务;银行;农村商业银行,160121
泰北街220-224号,新都区,[],[],[],成都市,[],B0FFF6RDSE,[],"104.232055,30.786826",成都农商银行(新都太兴支行),[],[],四川省,[],[],2,028-83986996;028-83986125,金融保险服务;银行;农村商业银行,160121
双怀路130号,崇州市,[],[],[],成都市,[],B001C8PLXN,[],"103.731277,30.580516",成都农商银行(崇州大划支行),[],[],四川省,[],[],2,028-82247561,金融保险服务;银行;农村商业银行,160121
银木街81号,锦江区,[],[],[],成都市,[],B0G304HSU8,[],"104.148730,30.591951",成都农商银行(高店子分理处),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
鼓浪屿路205,彭州市,[],[],[],成都市,[],B0FFJ7QUV5,[],"103.830421,31.161862",成都农商银行(彭州通济支行),[],[],四川省,[],[],2,028-83845266,金融保险服务;银行;农村商业银行,160121
华金大道二段521-525号附1,青白江区,[],[],[],成都市,[],B001C0675O,[],"104.251971,30.884276",成都农商银行(青白江支行),[],[],四川省,[],[],2,028-83691533;028-83661253,金融保险服务;银行;农村商业银行,160121
华金大道三段159号农科大厦1层,青白江区,[],[],202,成都市,[],B001C8O3HN,[],"104.281322,30.879179",成都农商银行(大同支行),B0FFFWWH9U,[],四川省,[],[],2,028-83625536,金融保险服务;银行;农村商业银行,160121
正北下街154-178号,双流区,[],[],[],成都市,[],B001C8OBDY,[],"104.066328,30.516393",成都农商银行(天府新区支行),[],[],四川省,[],[],2,028-81508032,金融保险服务;银行;农村商业银行,160121
辰居路338号,崇州市,[],[],[],成都市,[],B001C05WY7,[],"103.676360,30.639825",成都农商银行(崇州支行辰居路分理处),[],[],四川省,[],[],2,028-82216256,金融保险服务;银行;农村商业银行,160121
临邛镇凤凰大道616号鼎盛时代广场6楼,邛崃市,[],[],[],成都市,[],B0FFIOY1A6,[],"103.463760,30.400304",成都农商银行(邛崃支行),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
林荫街5号附6号华西大厦1层,武侯区,[],[],202,成都市,[],B001C80RR4,[],"104.068031,30.637212",成都农商银行(桂溪支行),B001C06TAT,[],四川省,[],[],2,028-85436166,金融保险服务;银行;农村商业银行,160121
永安镇太平街24号,双流区,[],[],[],成都市,[],B001C063CP,[],"103.986519,30.408117",成都农商银行(永安支行),[],[],四川省,[],[],2,028-85681176;028-85682096,金融保险服务;银行;农村商业银行,160121
北大街148-156号,彭州市,[],[],[],成都市,[],B001C0252C,[],"103.942409,30.987257",成都农商银行(天彭支行),[],[],四川省,[],[],2,028-83873164,金融保险服务;银行;农村商业银行,160121
万安路西段195-207,双流区,[],[],[],成都市,[],B0FFFACFJ9,[],"104.106075,30.486843",成都农商银行(万安支行),[],[],四川省,[],[],2,028-85748074,金融保险服务;银行;农村商业银行,160121
火神庙路65号附34-37,成华区,[],[],[],成都市,[],B0FFF006Y3,[],"104.171259,30.706229",成都农商银行(龙潭支行),[],[],四川省,[],[],2,028-84204226,金融保险服务;银行;农村商业银行,160121
五津东路243、249,新津区,[],[],[],成都市,[],B001C8O4RO,[],"103.814656,30.414779",成都农商银行(新津支行),[],[],四川省,[],[],2,028-82523487,金融保险服务;银行;农村商业银行,160121
羊安镇九龙大道111号,邛崃市,[],[],[],成都市,[],B001C8MTW7,[],"103.702183,30.396667",成都农商银行(羊安支行),[],[],四川省,[],[],2,028-88751077,金融保险服务;银行;农村商业银行,160121
双荆路308号,成华区,[],[],[],成都市,[],B001C7WDXY,[],"104.082137,30.711122",成都农商银行(园艺支行),[],[],四川省,[],[],2,028-83145887,金融保险服务;银行;农村商业银行,160121
驭虹路31附1-2,蒲江县,[],[],[],成都市,[],B001C7V5O1,[],"103.512428,30.196935",成都农商银行(鹤山支行),[],[],四川省,[],[],2,028-88534871,金融保险服务;银行;农村商业银行,160121
