address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
162乡道与183县道交叉口东北200米,简阳市,[],[],[],成都市,[],B0FFHGR8ID,[],"104.494880,30.317095",中国建设银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
九里堤南路78号附5-9号,金牛区,[],[],[],成都市,[],B001C0AGAV,[],"104.057635,30.692581",中国建设银行(九里堤南路支行),[],[],四川省,[],[],2,028-87642003;028-87676977;028-87642007,金融保险服务;银行;中国建设银行,160106
大田坎街162号附32-34号,锦江区,[],[],[],成都市,[],B001C7Y8F8,[],"104.103049,30.643269",中国建设银行(蜀都花园支行),[],[],四川省,[],[],2,028-84421286;028-84459103,金融保险服务;银行;中国建设银行,160106
武侯祠横街1号附4-5号,武侯区,[],[],[],成都市,[],B001C7WQXO,[],"104.049824,30.644007",中国建设银行(成都南郊支行),[],[],四川省,[],[],2,028-85550250,金融保险服务;银行;中国建设银行,160106
顺城街252号顺吉大厦1层建行,青羊区,[],[],202,成都市,[],B001C7UOAU,[],"104.070992,30.663914",中国建设银行(体育场路分理处),B001C7SZV4,[],四川省,[],[],2,028-86742556;95533,金融保险服务;银行;中国建设银行,160106
新光路5号附14号,武侯区,[],[],[],成都市,[],B001C0AGD1,[],"104.057741,30.615335",中国建设银行(新光路储蓄所),[],[],四川省,[],[],2,028-85139345,金融保险服务;银行;中国建设银行,160106
海椒市街56号之附1-6号,锦江区,[],[],[],成都市,[],B001C0AGB0,[],"104.100306,30.636483",中国建设银行(成都莲花新区支行),[],[],四川省,[],[],2,028-84530780;028-84530781,金融保险服务;银行;中国建设银行,160106
树蓓巷35-43,金牛区,[],[],[],成都市,[],B001C06O9Y,[],"104.090574,30.684992",中国建设银行(李家沱储蓄所),[],[],四川省,[],[],2,028-83391772;028-83396217;95533,金融保险服务;银行;中国建设银行,160106
淮口服务区附近,金堂县,[],[],311,成都市,[],B001C8OFDO,[],"104.566003,30.688629",淮口服务区中国建设银行ATM,B001C7XD68,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
万顺路一段290号,双流区,[],[],[],成都市,[],B0FFJDG00T,[],"104.026447,30.492837",中国建设银行(成都万顺支行),[],[],四川省,[],[],2,028-84081312,金融保险服务;银行;中国建设银行,160106
建设路11号,邛崃市,[],[],[],成都市,[],B0FFIBAJ0L,[],"103.461100,30.409257",中国建设银行24小时自助银行(建设路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
