address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
龙泉街道公园路一段146号文明街,龙泉驿区,[],[],[],成都市,[],B001C8N2T5,[],"104.278212,30.562832",中国邮政储蓄银行(文明街营业所),[],[],四川省,[],[],2,028-84884409;95580,金融保险服务;银行;中国邮政储蓄银行,160139
南通路104号,双流区,[],[],[],成都市,[],B0FFG7IYND,[],"103.987067,30.408320",中国邮政储蓄银行(双流区永安支行),[],[],四川省,[],[],2,028-85681184;95580,金融保险服务;银行;中国邮政储蓄银行,160139
金马街道太极大道296-298,温江区,[],[],[],成都市,[],B001C957LF,[],"103.803532,30.641134",中国邮政储蓄银行(金马街道营业所),[],[],四川省,[],[],2,028-82781286;95580,金融保险服务;银行;中国邮政储蓄银行,160139
高新区永丰路30号,武侯区,[],[],[],成都市,[],B001C7WH7Q,[],"104.047390,30.627593",中国邮政储蓄银行(高新区邮局营业部),[],[],四川省,[],[],2,028-66053980,金融保险服务;银行;中国邮政储蓄银行,160139
南北大道122-128,都江堰市,[],[],[],成都市,[],B0FFFQ210E,[],"103.596164,30.876685",中国邮政储蓄银行(青城镇支行),[],[],四川省,[],[],2,028-87256037,金融保险服务;银行;中国邮政储蓄银行,160139
紫竹南一街1号紫荆美熙广场,武侯区,[],[],202,成都市,[],B001C0AJ20,[],"104.054173,30.613199",中国邮政储蓄银行(紫荆东路营业所),B0FFGXCHXO,[],四川省,[],[],2,028-85194255;028-69919277;95580,金融保险服务;银行;中国邮政储蓄银行,160139
北大街107-109号,彭州市,[],[],[],成都市,[],B001C8078V,[],"103.942131,30.986380",中国邮政储蓄银行(北大街支行),[],[],四川省,[],[],2,028-83871667;95580,金融保险服务;银行;中国邮政储蓄银行,160139
核桃堰路39-41号,武侯区,[],[],[],成都市,[],B001C90QZC,[],"104.026488,30.626447",中国邮政储蓄银行(核桃堰路营业所),[],[],四川省,[],[],2,028-85537212;95580,金融保险服务;银行;中国邮政储蓄银行,160139
牡丹东路6号,彭州市,[],[],[],成都市,[],B001C8OPQ4,[],"103.959876,30.988478",中国邮政储蓄银行(盛世天彭支行),[],[],四川省,[],[],2,028-83873420,金融保险服务;银行;中国邮政储蓄银行,160139
光华村街44号附1号,青羊区,[],[],[],成都市,[],B001C08U24,[],"104.013920,30.663194",中国邮政储蓄银行(光华村支行),[],[],四川省,[],[],2,028-87086167;95580,金融保险服务;银行;中国邮政储蓄银行,160139
西河街道药王庙街2、4、6、8、10、12号,龙泉驿区,[],[],[],成都市,[],B001C8N3BL,[],"104.235516,30.651456",中国邮政储蓄银行(西河街道营业所),[],[],四川省,[],[],2,028-84890679;95580,金融保险服务;银行;中国邮政储蓄银行,160139
成双大道99号附近,武侯区,[],[],[],成都市,[],B0FFFFQ97M,[],"104.009472,30.611790",中国邮政储蓄银行(成都市聚龙路营业所),[],[],四川省,[],[],2,028-85041941;95580,金融保险服务;银行;中国邮政储蓄银行,160139
龙舟路59号,锦江区,[],[],[],成都市,[],B001C7YBX7,[],"104.097924,30.627119",中国邮政储蓄银行(龙舟南路支局),[],[],四川省,[],[],2,028-84555587;95580,金融保险服务;银行;中国邮政储蓄银行,160139
晋吉北路66号附28号,武侯区,[],[],[],成都市,[],B001C8YZUS,[],"104.004027,30.640145",中国邮政储蓄银行(晋吉北路营业所),[],[],四川省,[],[],2,028-87444078,金融保险服务;银行;中国邮政储蓄银行,160139
花园街180号,新津区,[],[],[],成都市,[],B001C8MSPH,[],"103.878085,30.497044",中国邮政储蓄银行(花源镇营业所),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
解放街76号,都江堰市,[],[],[],成都市,[],B001C8YT3L,[],"103.646915,30.843448",中国邮政储蓄银行(石羊镇支行),[],[],四川省,[],[],2,028-87280126;95580,金融保险服务;银行;中国邮政储蓄银行,160139
昭觉寺横路99号附13号,成华区,[],[],[],成都市,[],B0FFFE1N4D,[],"104.105581,30.701674",中国邮政储蓄银行(青龙场营业所),[],[],四川省,[],[],2,028-84790560;95580,金融保险服务;银行;中国邮政储蓄银行,160139
太平街道长龙街123号,双流区,[],[],[],成都市,[],B001C8UB5J,[],"104.199240,30.429644",中国邮政储蓄银行(太平镇支行),[],[],四川省,[],[],2,028-85661400,金融保险服务;银行;中国邮政储蓄银行,160139
西街6号,新都区,[],[],[],成都市,[],B001C7TLJO,[],"104.160075,30.826749",中国邮政储蓄银行(西街营业所),[],[],四川省,[],[],2,028-83991599;028-95580,金融保险服务;银行;中国邮政储蓄银行,160139
九江镇双九路二段188号,双流区,[],[],[],成都市,[],B0FFG6ACFM,[],"103.912335,30.619851",中国邮政储蓄银行(九江镇营业所),[],[],四川省,[],[],2,028-85754404;95580,金融保险服务;银行;中国邮政储蓄银行,160139
成宏路2号附1-2,成华区,[],[],[],成都市,[],B001C8R7CV,[],"104.167531,30.692820",中国邮政储蓄银行(龙潭寺营业所),[],[],四川省,[],[],2,028-84202434;95580,金融保险服务;银行;中国邮政储蓄银行,160139
协和上街100-104,双流区,[],[],[],成都市,[],B001C8MOF6,[],"104.046493,30.508189",中国邮政储蓄银行(华阳锦江路营业所),[],[],四川省,[],[],2,028-85765187;95580,金融保险服务;银行;中国邮政储蓄银行,160139
西航港锦华路三段80-84号,双流区,[],[],[],成都市,[],B0FFHGC8I7,[],"103.984937,30.576684",中国邮政储蓄银行(常乐营业所),[],[],四川省,[],[],2,95580,金融保险服务;银行;中国邮政储蓄银行,160139
将军西街4号,新都区,[],[],[],成都市,[],B001C8N6M7,[],"104.231504,30.786540",中国邮政储蓄银行(泰兴营业所),[],[],四川省,[],[],2,028-83986001,金融保险服务;银行;中国邮政储蓄银行,160139
天新路45-55号,金牛区,[],[],[],成都市,[],B001C7XZ4C,[],"104.117777,30.761775",中国邮政储蓄银行(天回镇营业所),[],[],四川省,[],[],2,028-83571109;95580,金融保险服务;银行;中国邮政储蓄银行,160139
机投镇草金南路24号,武侯区,[],[],[],成都市,[],B001C8O9KR,[],"103.979701,30.647595",中国邮政储蓄银行(机投镇支行),[],[],四川省,[],[],2,028-87485805;95580,金融保险服务;银行;中国邮政储蓄银行,160139
龙泉街道旭东街36-38号,龙泉驿区,[],[],[],成都市,[],B001C0ABOU,[],"104.262047,30.563092",中国邮政储蓄银行(旭东街营业所),[],[],四川省,[],[],2,028-84884209;95580,金融保险服务;银行;中国邮政储蓄银行,160139
清明街15号,崇州市,[],[],[],成都市,[],B001C8N40W,[],"103.559764,30.814213",中国邮政储蓄银行(街子营业所),[],[],四川省,[],[],2,028-82294115;95580,金融保险服务;银行;中国邮政储蓄银行,160139
