address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
机场东路成都双流国际机场1F层,双流区,[],[],201,成都市,[],B0FFG4BJG1,[],"103.951902,30.567343",好旺商场,B001C06GIA,[],四川省,[],[],0,[],购物服务;便民商店/便利店;便民商店/便利店,060200
南府街50号附18号,锦江区,[],[],[],成都市,[],B0FFF9VDZV,[],"104.069777,30.648623",名香综合经营部,[],[],四川省,[],[],0,13881747322,购物服务;便民商店/便利店;便民商店/便利店,060200
静居寺南街17号附9号、附8号,锦江区,[],[],[],成都市,[],B0FFGFKSHX,[],"104.102603,30.623595",红旗超市(东润风尚便利店),[],[],四川省,[],[],0,028-84593322,购物服务;便民商店/便利店;便民商店/便利店,060200
航天路322、320号1栋1层6号,温江区,[],[],[],成都市,[],B001C8N5Y7,[],"103.844163,30.689636",中国供销合作社老邻居(航天店),[],[],四川省,[],[],0,028-82767622,购物服务;便民商店/便利店;便民商店/便利店,060200
蜀汉路365号2幢1层10号,青羊区,[],[],202,成都市,[],B001C80IMX,[],"104.008792,30.698821",舞东风(0249蜀汉二店),B0FFG1L1ZT,[],四川省,[],[],0,15719461558,购物服务;便民商店/便利店;便民商店/便利店,060200
净居寺南街45号,锦江区,[],[],[],成都市,[],B001C7UPAB,[],"104.106805,30.619914",舞东风,[],[],四川省,[],[],0,028-84519498;028-84593630;15719461108,购物服务;便民商店/便利店;便民商店/便利店,060200
天华路409号英郡南区8幢1层4号,武侯区,[],[],[],成都市,[],B001C80QGK,[],"104.072180,30.544159",红旗(1116英郡便利店),[],[],四川省,[],[],0,028-61687677,购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,060400|060200
华阳大道二段70、72号,双流区,[],[],[],成都市,[],B0FFIR4B50,[],"104.052940,30.511595",舞东风超市(府河公寓分店),[],[],四川省,[],[],0,18782989541,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400
通济桥下街成南锦秀1幢1楼14-15-16号,双流区,[],[],202,成都市,[],B001C8MOFY,[],"104.045857,30.508577",舞东风(0277华阳通济桥分店),B0FFHRNHOG,[],四川省,[],[],0,15719461277,购物服务;便民商店/便利店;便民商店/便利店,060200
龙腾中路3号附1号,武侯区,[],[],[],成都市,[],B001C7WFWO,[],"104.016386,30.651626",舞东风,[],[],四川省,[],[],0,18215556760;15719461376,购物服务;便民商店/便利店;便民商店/便利店,060200
华阳镇街道伏龙路二段127号,双流区,[],[],[],成都市,[],B0FFGFMOGQ,[],"104.060505,30.518556",鑫怡超市,[],[],四川省,[],[],0,028-85622898;18048555297,购物服务;超级市场;超市,060400
人民南路四段17号附7号,武侯区,[],[],[],成都市,[],B0FFFY7QOY,[],"104.067415,30.625202",鑫隆便利店(领事馆路店),[],[],四川省,[],[],0,[],购物服务;便民商店/便利店;便民商店/便利店,060200
书院街街道庆云西街71号,锦江区,[],[],[],成都市,[],B001C7Y83J,[],"104.085515,30.662325",舞东风庆云西街分店,[],[],四川省,[],[],0,15719461521,购物服务;便民商店/便利店;便民商店/便利店,060200
东大街紫东楼段168号附4号,锦江区,[],[],[],成都市,[],B0FFHSGIOC,[],"104.089249,30.644675",家院里超市,[],[],四川省,[],[],1,18109079051,购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,060400|060200
青华东路10-12号,青白江区,[],[],[],成都市,[],B001C8OD3H,[],"104.267131,30.870885",红旗超市(青白江青华东路便利店),[],[],四川省,[],[],0,028-83603295,购物服务;便民商店/便利店;便民商店/便利店,060200
静康路168-170号,锦江区,[],[],[],成都市,[],B0FFGCEQMI,[],"104.114715,30.619470",红旗超市(静康路便利店),[],[],四川省,[],[],0,028-61642155,购物服务;便民商店/便利店;便民商店/便利店,060200
兆景路562-568号,武侯区,[],[],[],成都市,[],B0FFFRKJWK,[],"103.987522,30.620875",红旗超市(兆景路便利店),[],[],四川省,[],[],0,028-61692569,购物服务;超级市场;超市,060400
金履三路8号附15-16号,武侯区,[],[],[],成都市,[],B0FFF2FM7P,[],"103.988591,30.607749",红旗超市(中海锦城便利店),[],[],四川省,[],[],0,028-62379336,购物服务;便民商店/便利店;便民商店/便利店,060200
陕西街34号附4-5号,青羊区,[],[],[],成都市,[],B001C92CE4,[],"104.064052,30.654699",红旗超市(陕西街便利店),[],[],四川省,[],[],0,028-86129625,购物服务;便民商店/便利店;便民商店/便利店,060200
成华大道崔家店路262号阳光舜苑附1-2号,成华区,[],[],[],成都市,[],B001C8MSDS,[],"104.133009,30.660565",好邻里便利店,[],[],四川省,[],[],0,18010530994;028-66637878,购物服务;超级市场;超市,060400
红花北路99-101号,金牛区,[],[],[],成都市,[],B001C7V6FF,[],"104.086749,30.692563",红旗超市(西南建材分场),[],[],四川省,[],[],0,028-83310560,购物服务;超级市场;超市,060400
