address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
竹篙镇竹富路6号,金堂县,[],[],[],成都市,[],B0HGFD5O1R,[],"104.752666,30.627140",食用菌科研和成果转化示范(金堂)基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
崇安路,崇州市,[],[],[],成都市,[],B0HGFA4Z1C,[],"103.718919,30.622569",崇州机器人国际合作示范区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCJL21,[],"104.068443,30.537417",天府软件园E区6-1号楼,B001C8RAS8,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCJL1Y,[],"104.067949,30.539049",天府软件园E区3号楼,B001C8RAS8,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCI44T,[],"104.071161,30.549064",天府软件园A区7座,B0FFL1T15M,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCI42Y,[],"104.071235,30.548508",天府软件园A区8座,B0FFFOM6NH,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCHX56,[],"104.071198,30.550229",天府软件园A区5座,B0FFFOM6NH,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCHX55,[],"104.071047,30.547959",天府软件园A区9座,B0FFFOM6NH,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGCCHOZL,[],"104.068430,30.539463",天府软件园E区2号楼,B001C8RAS8,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HGC7JE1S,[],"104.068436,30.538841",天府软件园E区3号楼,B001C8RAS8,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],彭州市,[],[],308,成都市,[],B0HG7ZLOTC,[],"103.931412,30.952263",成都国际医药港C区7幢,B0FFGIB306,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],彭州市,[],[],308,成都市,[],B0HG7ZLH4Q,[],"103.932370,30.953363",成都国际医药港C区3幢,B0FFGIB306,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],彭州市,[],[],308,成都市,[],B0HG7MLVD7,[],"103.932406,30.952265",成都国际医药港E区8幢,B0FFGIB306,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0HG7AKTDP,[],"104.068456,30.537480",天府软件园E区6号楼,B001C8RAS8,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
G108(沪聂线),邛崃市,[],[],[],成都市,[],B0HG6NBF42,[],"103.440498,30.357099",水井坊邛崃产业链基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
邛窑大道南段,邛崃市,[],[],[],成都市,[],B0HG64D3J6,[],"103.442804,30.399084",临邛文博创意产业示范区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],郫都区,[],[],[],成都市,[],B0HG47ST3A,[],"103.950224,30.798446",成都现代工业港产业功能区高品质科创空间,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
崇阳大道白马金岸全友家居工业园,崇州市,[],[],[],成都市,[],B0HG3XH5Y5,[],"103.708948,30.632478",全友家居工业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
双林路251号,成华区,[],[],[],成都市,[],B0HG3KA8WT,[],"104.097944,30.659079",成都·中关村信息谷,[],[],四川省,[],[],0,028-62612625,商务住宅;产业园区;产业园区,120100
航利集团九江工业园,武侯区,[],[],[],成都市,[],B0HG3HE9ZX,[],"104.039746,30.625526",九江工业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
二环路北一段111号西南交通大学九里校区,金牛区,[],[],[],成都市,[],B0HG2S03V6,[],"104.056633,30.696118",西南交通国家大学科技园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
光华大道,大邑县,[],[],[],成都市,[],B0HG2CZIXE,[],"103.545521,30.542638",天邑电子信息产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
菁蓉镇红旗大道146号弘吉雅居7栋2单元1楼,郫都区,[],[],[],成都市,[],B0HG292CW4,[],"103.861891,30.780202",科园创工坊,[],[],四川省,[],[],0,028-63948251,商务住宅;产业园区;产业园区,120100
