address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
合信路与天骄路交叉口西南150米,郫都区,[],[],[],成都市,[],B0FFIMLGA3,[],"103.917297,30.751236",成都高新综合保税区(天娇路),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
新兴街道,双流区,[],[],[],成都市,[],B0FFGYAS6C,[],"104.176526,30.521154",天府新区新兴工业园,[],[],四川省,[],[],0,028-62038209,商务住宅;产业园区;产业园区,120100
大禹东路66创业天府菁蓉小镇3栋9-11层,郫都区,[],[],[],成都市,[],B0FFGQ5UZ5,[],"103.854733,30.779972",大数据创新创业成都基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
东升街道星空路3段和文昌路交叉口,双流区,[],[],[],成都市,[],B0FFGB5EJR,[],"103.929989,30.609892",朋桥家居物流园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区|生活服务;物流速递;物流速递,120100|070500
金凤凰大道666号,金牛区,[],[],308,成都市,[],B0FFGB4YWZ,[],"104.099485,30.769622",中铁产业园A区,B0FFMF5NUR,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
西南航空港经济开发区腾飞二路355号,双流区,[],[],[],成都市,[],B0FFGAWMHC,[],"103.974226,30.524483",航空孵化园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
郫都区永安路46号,郫都区,[],[],[],成都市,[],B0FFG1PECL,[],"103.812869,30.865102",安德川菜工业园区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
犀浦百川路9号,金牛区,[],[],[],成都市,[],B0FFF00AKV,[],"103.962391,30.72531",中国电科航电产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
新裕路与梓州大道交叉口北150米,双流区,[],[],[],成都市,[],B0FFG2C0D7,[],"104.082258,30.514958",新川创新科技园,[],[],四川省,[],[],0,028-85321749;028-85322322,商务住宅;产业园区;产业园区,120100
高新西区西芯大道12号,郫都区,[],[],[],成都市,[],B0FFGIO53S,[],"103.967337,30.738685",西南国际医疗器械城,[],[],四川省,[],[],0,028-87838880,商务住宅;产业园区;产业园区,120100
雨树巷28号,锦江区,[],[],[],成都市,[],B0GU71N84P,[],"104.145946,30.591319",华熙LIVE·528M空间,[],[],四川省,[],[],0,028-86716581,商务住宅;产业园区;产业园区,120100
G108(新邛公路),邛崃市,[],[],[],成都市,[],B0FFLOYNLH,[],"103.520406,30.405559",天府现代种业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
玉洁巷与玉洁西街交叉口东北50米,武侯区,[],[],[],成都市,[],B0FFJBH0RR,[],"104.060381,30.623243",院子文化创意园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
太平寺西路3,武侯区,[],tour,[],成都市,[],B0FFJ30FMK,[],"104.025566,30.606688",梵木Flying国际文创公园,[],[],四川省,[],[],2,[],风景名胜;风景名胜相关;旅游景点,110000
斌升街27号,青羊区,[],[],[],成都市,[],B0FFI6YYFT,[],"104.057518,30.661485",少城视井文创产业园区,[],[],四川省,[],[],0,028-86116772,商务住宅;产业园区;产业园区,120100
东山大道四段,双流区,[],[],[],成都市,[],B0FFHQ818E,[],"104.138410,30.321771",废墟精酿文创园,[],[],四川省,[],[],0,028-64977630,体育休闲服务;休闲场所;休闲场所|商务住宅;产业园区;产业园区,080500|120100
东洪路666号,龙泉驿区,[],[],[],成都市,[],B0FFH4VT9T,[],"104.150471,30.621811",梵木创艺区,[],[],四川省,[],[],1,028-86910505;028-64086070,商务住宅;产业园区;产业园区,120100
五津镇纯阳花园对面,新津区,[],[],[],成都市,[],B0FFGRDDZW,[],"103.797896,30.424178",五津镇大学生无公害草莓创业园,[],[],四川省,[],[],0,15967149427,商务住宅;产业园区;产业园区,120100
学府路南段288号,温江区,[],[],[],成都市,[],B001C7ZYY3,[],"103.82119,30.66895",烘焙工业园,[],[],四川省,[],[],0,13683487208,商务住宅;产业园区;产业园区,120100
高新西区西芯大道3号,郫都区,[],[],[],成都市,[],B0FFFDVGER,[],"103.967707,30.732332",国腾科技园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
银河路一段596号,双流区,[],[],[],成都市,[],B0FFGKE3XB,[],"103.894496,30.592403",银河·596,[],[],四川省,[],[],0,028-65726811,商务住宅;产业园区;产业园区,120100
新都街道,新都区,[],[],[],成都市,[],B001C8MFFB,[],"104.208255,30.779744",四川省农业科学院现代农业科技创新示范园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
蜀龙大道北段附近,新都区,[],[],[],成都市,[],B0FFFEBNOD,[],"104.179686,30.821525",西南石油大学国家大学科技园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
大禹东路与胜利北街交叉口西50米,郫都区,[],[],[],成都市,[],B0FFJE0YX1,[],"103.859926,30.782622",无人机创新创业基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
G321(广成线),简阳市,[],[],[],成都市,[],B034000Y9M,[],"104.571325,30.346586",龙桥工业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
冠川汽配商场,金牛区,[],[],[],成都市,[],B0G3VBBDNT,[],"104.108957,30.750380",高新科技产业园区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
徳源镇菁蓉小镇田坝东街15号,郫都区,[],[],[],成都市,[],B0FFIHKP4M,[],"103.850054,30.775457",电子科大菁蓉逆向创新孵化基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
龙潭工业园成宏路72号,成华区,[],[],[],成都市,[],B0FFI8XFJZ,[],"104.187844,30.693235",四川检验检测创新科技园,[],[],四川省,[],[],0,18828090799,商务住宅;产业园区;产业园区,120100
益州大道中段1800号,武侯区,[],[],[],成都市,[],B0FFH8C1P5,[],"104.056082,30.538617",中国成都留学人员创业园(益州大道中段),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
芳草西一街八号,武侯区,[],[],[],成都市,[],B0FFH4URKO,[],"104.049830,30.629263",四川军旅战友创业联盟示范基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
昭忠祠街与红星路一段交叉口东北50米,锦江区,[],[],[],成都市,[],B0FFH4UR9D,[],"104.088336,30.667455",艺哈创新创业孵化基地,[],[],四川省,[],[],0,028-86930328,商务住宅;产业园区;产业园区,120100
双柏路8号,郫都区,[],[],308,成都市,[],B0FFGN2L5Z,[],"103.91709,30.794202",成都高新综合保税区A区,B0FFGLCTUT,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
海科路东段777号附105号,温江区,[],[],308,成都市,[],B0FFGB59BX,[],"103.812614,30.671573",成都SBI创业街F栋,B0FFGSH0ED,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
红光街道工业港北片区港通北三路269号,郫都区,[],[],[],成都市,[],B0FFFVOYC1,[],"103.926788,30.808937",融智创新产业园,[],[],四川省,[],[],0,028-87856677,商务住宅;产业园区;产业园区,120100
龙安路339号,龙泉驿区,[],[],[],成都市,[],B001C90PB4,[],"104.201141,30.534465",宁波华翔电子股份有限公司成都工业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
金航街43号,武侯区,[],[],[],成都市,[],B001C8O90Q,[],"103.969406,30.600353",武侯绿博经济园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
工业园区东区金泰路368号,新都区,[],[],[],成都市,[],B001C8O43Q,[],"104.215899,30.813669",千百润归国劳务人员创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
星狮路511号大合仓b501b,武侯区,[],[],[],成都市,[],B001C8MOML,[],"104.009646,30.622448",星狮地产(大合仓),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
高新区益新大道288号,武侯区,[],[],[],成都市,[],B001C8MNRD,[],"104.032649,30.59643",石羊工业园(科创路),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
天府大道北段18号高新国际广场A座,武侯区,[],[],[],成都市,[],B001C08QN2,[],"104.065637,30.592008",成都高新技术产业开发区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
高新区益州大道北段25号,武侯区,[],[],[],成都市,[],B001C8O878,[],"104.060820,30.591914",成都高新区成职软件园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
长城路1段187号,双流区,[],[],[],成都市,[],B001C802RI,[],"103.985274,30.556812",中国科学院光电所产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
